|Disappointed 
0|One Simply Could Not Ask For More
1|Great for those that just want an e-reader
2|Love / Hate relationship
3|I LOVE ITGreat device for reading. 8 
4|One Simply Could Not Ask For More 28 
5|Definitely better than the previous generation 16 
6|Paperwhite voyage, no regrets! 16 
7|Great for those that just want an e-reader 19 
8|Give this to a book-loving-new-mommy-who-breastfeeds 34 
9|Trouble-free international shipping, and easy to convert ePub 9 
10|Great for those that just want an e-reader 18 
11|Liked the smaller size
12|Superb reading device - but which one's best for you
13|I love it!
14|Un plaisir
15|Works great and I love the built-in light
16|Trs utile
17|I had a Kindle before found it very easy to find what I needed to do
18|Seamless Reasing Experience
19|A great addition to the Kindle range
20|great kindle
21|Worth the money. Not perfect, but very very good for start to finish novels in good light
22|Kindle vs. Nook (updated)
23|Not the perfect do-it-all device, but very close to being the perfect e-reading device!
24|Worth the money. Not perfect, but very very good for start to finish novels in good light 11,952 of 12,233 
25|Worth the money. Not perfect, but very very good for start to finish novels in good light
26|Kindle vs. Nook (updated)
27|Not the perfect do-it-all device, but very close to being the perfect e-reading device!
28|Great
29|I've had 3!
30|Kindle Customer Service vs. Comcast
31|I love it
32|A hesistant buyer rejoices on his choice
33|Ruined my marriage
34|Not a long-lasting product!
35|Good device
36|Great
37|I like it
38|"Works great with one critical flaw. (significantly improved) 7\,379 """
39|This box is a GAME CHANGER for on demand content!
40|A review from a non-techie 11,058 
41|This box is a GAME CHANGER for on demand content!
42|A review from a non-techie 11,063 
43|Works great with one critical flaw. (significantly improved) 7,380 
44|This box is a GAME CHANGER for on demand content!
45|I like it
46|Works great with one critical flaw. (significantly improved)
47|This box is a GAME CHANGER for on demand content!
48|Great upgrade for aesthetics
49|Great case with minor design flaws
50|Major fan, didn't buy this because of protection, ...
51|Not all fabric or cloth.
52|She loves it
53|Great pop of color for a bland looking product!
54|Great look for Dot.
55|This is perfect. A lot of people were commenting that the ...
56|Great upgrade for aesthetics
57|Not good at all, the product is renewed but not said in the plateform; disappointed :(
58|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
59|I also own a Echo and if you own a Echo you will love the Tap
60|Dead after 15 months
61|Not everything I expected...
62|Great case with minor design flaws
63|Major fan, didn't buy this because of protection, ...
64|Not all fabric or cloth.
65|She doesn't loves it
66|Not Great pop of color for a bland looking product!
67|Great look for Dot.
68|This is perfect. A lot of people were commenting that the ...
69|Great upgrade for aesthetics
70|Don't buy from this seller...
71|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
72|I also own a Echo and if you own a Echo you will love the Tap
73|Great upgrade for aesthetics
74|The Extra Touch
75|Great case with minor design flaws
76|Not all fabric or cloth.
77|She loves it
78|Great pop of color for a bland looking product!
79|Great look for Dot.
80|Great controller with 2 major problems! Not recommended at this point in time...
81|Save your batteries by keeping remote in another room when not in use
82|Makes games fun.
83|Works great though and I know I can return if it ...
84|Great Controller
85|Save your batteries by keeping remote in another room when not in use
86|Great Controller
87|Works great though and I know I can return if it ...
88|Great Game Controller for Fire TV
89|and was a great surprise for the gamers in the family  
90|This needs to be way better for the amount I spent on it.
91|Great add-on if you own a
92|Makes games fun.
93|Five Stars, great
94|Doesn't respond to FireTV
95|Not good at all, the product is renewed but not said in the plateform; disappointed :(
96|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
97|I also own a Echo and if you own a Echo you will love the Tap
98|Not good at all, the product is renewed but not said in the plateform; disappointed :(
99|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
100|I also own a Echo and if you own a Echo you will love the Tap
101|Know what you are buying!!!!
102|Detailed Review of the Kindle
103|Good Value at 79 with a Few Nits
104|Not good at all, the product is renewed but not said in the plateform; disappointed :(
105|Provides Excellent protection for my new tap that is out and about with me as we speak!!!
106|I also own a Echo and if you own a Echo you will love the Tap
107|Honest Kindle Review
108|Honest Kindle Review
109|Simply gorgeous 3,
110|I wanted to like this tablet...ended up somewhat disappointed 3,
111|I am delighted.and should get several years out of this Big tablet esp w screen mirror . now google play is on it. !!
112|Keeps Getting Better, Especially for Comic Readers 2,
113|Great upgrade for aesthetics
114|The Extra Touch
115|Great case with minor design flaws
116|Major fan, didn't buy this because of protection, ...
117|Not all fabric or cloth.
118|She loves it
119|Great pop of color for a bland looking product!
120|Great look for Dot.
121|After considering the price to purchase 3 of them and checking out the apps my husband and I were pretty sure we would purchase 1,
122|Freetime makes me angry. So, so angry. 3,
123|Great value, OK performance, and a little shady price-gouging on SD cards. 2,
124|Simply gorgeous 3,
125|I wanted to like this tablet...ended up somewhat disappointed 3,
126|I am delighted.and should get several years out of this Big tablet esp w screen mirror . now google play is on it. !!
127|Keeps Getting Better, Especially for Comic Readers 2,
128|The best Echo yet, especially if you have elderly parents
129|Maybe I was expecting more...
130|Best Echo available!
131|Maybe I was expecting more...
132|Maybe I was expecting more
133|Yeehaw
134|Day 1 review: I liked my Echo. I like my Echo Show even more.
135|The resolution is just as good on the 10
136|Disappointed
137|Excellent refurbished HD 10 Good price
138|WHY BUY NEW.... REFURBISHED IS TOPS!!!
139|Slowest Fire Sold
140|I've had the Kindle Fire HDX 7 inch tablet for ...
141|Fire Ten OK
142|Replacing kindle hdx 7
143|Love my Kindles!
144|Wonderfull
145|Great beach reader!
146|Five Stars
147|Don't buy a refurbished Kindle!
148|Looks New
149|I was pretty bummed out that a refurbished product of their own ...
150|Honest Kindle Review
151|The best Kindle ever... and I should know I've tried them all.
152|LOVE LOVE LOVE!!!!! SO HAPPY!! 1,
153|Know What You Are Buying!!
154|No universal search, no way to search Prime FREE content, no headphone jack, no HBOGO, no volume control, adding apps is hard.
155|So glad I gave this a try...
156|This set up is the shizzle
157|can not get it to work.  I have dish not sure if that is the problem
158|A review from a non-techie
159|I love it
160|Pleased with the purchase
161|My first week with the Fire TV
162|Good for what it is, but not the ultimate solution.
163|This box is a GAME CHANGER for on demand content!
164|A powerful new streaming box that challenges the competition!
165|Sent mine back...
166|I am not pleased, every movie I select is a pay for ...
167|Outdated Netflix
168|Customer Service--I'm Stunned at How Bad it Was
169|Good start but, needs work
170|Fire TV vs. Everything Else Streaming and Gaming
171|great and very fast, but...
172|Easy To Install and so convenient
173|I love it
174|Fantastic Right Out of The Box
175|bought one from bestbuy and boy have i been impressed
176|What about the
177|Amazing unit Easy to set up just remember to ...
178|Initial Review, and yes I actually own the item. ** Updated 04/07/14 **
179|Issues setting up basic apps, audio problems, VERY centered around
180|Superior
181|Pretty Good So Far
182|great box for XBMC
183|OMG
184|VIDEO REVIEW / Easily the best of its kind but could have been a little better
185|Works great with one critical flaw. (significantly improved)
186|Works great with one critical flaw. (significantly improved)
187|Little Black Box Of Awesomeness
188|Prime video and Netflix!
189|Some Hulu Plus shows are not available...
190|So much more than I expected!
191|Could not be happier
192|Excellent!! Love It!!
193|I'd love to see
194|This box is a GAME CHANGER for on demand content!
195|Device unusable for playing video on Netflix app
196|Awesome!
197|Works great with one critical flaw.
198|This box is a GAME CHANGER for on demand content
199|No Way to Search or Browse Prime Movies Only FAIL
200|Excellent Streaming Right Out of the Box
201|Small and yet sooo big.
202|A review from a non-techie
203|Disclaimer: voice search & instant play is it only works for
204|A couple of downsides
205|Improvements
206|Better than Apple TV & Roku
207|No Way to Search or Browse Prime Movies Only = FAIL
208|It not work
209|excellent device
210|AWESOME Media box, BUT...
211|Fire TV (Apple TV + ChromeCast)
212|A review from a non-techie
213|So good I bought two
214|As compared to Roku for
215|No way to just see prime stuff
216|Great for streaming
217|It's Ok
218|Falls Short
219|Disconnects from WIFI but the features are great.
220|Fire TV vs. Everything Else Streaming and Gaming
221|so far we are very happy - especially kids as they have all their favorite
222|2nd Best Purchase frompeople found this helpful. 
223|Finally...the right streaming device
224|Unique place in the market. Perfect for the
225|It's actually great minus one thing.
226|I love my Fire TV
227|NOT THAT GREAT!
228|AMAZING!
229|Terrific !!
230|Amwsome Streaming Device
231|A good initial release. But fails on the promise
232|Best TV Streaming Box for Everyone - From Grandma to Your Computer Science Professor
233|Not good
234|great way to watch movies
235|I love it
236|Message to Time Warner Cable:  Cutting the Cord and setting it on Fire!
237|Wow!! Buy this Immediately!!
238|Great device, but needs an SD card slot
239|Good but need some improvements..
240|Amazing cosmic powers, itty-bitty box
241|Love Our FireTV: Voice Search Will Totally SPOIL You
242|A good start but not yet better than the Roku
243|Easy to use, slick interface, and very responsive. Very happy with purchase.
244|Looses the network overnight every night.
245|because I like it, but feel it's overpriced
246|Charger has worked well for charging my Voyage. Comes ...
247|I'm very glad that I made this purchase
248|Two Stars
249|It DOESN'T Work  
250|First rate - high quality!!
251|Regulated USB Power Supply  
252|Two Stars
253|Hard to go wrong with a wall charger purchase
254|Only lasts for less than 1 year!
255|It is a pretty large charger though and doesn't fit in the kindle ...
256|Five Stars
257|Must have!  
258|Great Charger.  
259|First rate - high quality!!  
260|No Problems So Far!
261|A great choice for a good looking and durable case to protect the new 7 Fire tablet
262|Save your money.....
263|Five Stars
264|This case is very well made and sturdy. It perfectly matches the color of the tablet
265|Looks nice
266|Doesn't hold up to description price too high for what it is
267|Perfect new Case/Cover for the new 7 Kindle.
268|Nice and sturdy case!
269|This case is overall quite nice, but has started to peel apart on the ...
270|Great Cover
271|Very nice shade of blue
272|Good quality case.
273|Great protection and looks great
274|Five Stars
275|It was recommended on the tablet page
276|Accessories that complment my device
277|Flimsy Unstable Cover. Don't buy it.
278|Five Stars  
279|I like my
280|Your Kindle has an email address. Use it!
281|So far I love it! Has features even my Fire HD doesn't have.
282|Know what you are buying!!!!
283|Detailed Review of the Kindle
284|Good Value at 79 with a Few Nits
285|Great entry level reader 4,304 
286|Do you just want to read a book Than this is the kindle for you!
287|New Kindle Buyer Thinking about Nook Read on ...
288|Great entry level reader
289|A nice case that works well to protect your tablet!
290|Don't waste your money on this
291|A nice accessory for the Fire HD 8
292|Cover material is very disappointing.
293|Works and looks fine, but spendy and a dirt sponge.
294|Yes and no
295|Worth it to buy the cover.
296|good protection
297|Pricey  
298|you need to remove the case to access the SD slot) this is a good thing. All in all I am impressed with ...
299|Huge design Flaw
300|Just Bad
301|An excellent choice for a good looking and durable case to protect
302|My Fire HD 8 fits securely in this attractive case
303|Very complimentary to the new Fire HD 8
304|Major fan, didn't buy this because of protection, ...
305|Not all fabric or cloth.
306|Great protection for my device
307|Five Stars  
308|Five Stars  
309|Great case.
310|Five Stars
311|Amazing for kids!
312|The perfect kids tablet
313|Kindle 8th Generation Kids Bundle
314|Fully controllable limits.
315|I LOVE this!
316|NOT JUST FOR KIDS!
317|Loved the concept but execution falls short - and Customer Service was terrible!
318|Quite the steal!
319|Great upgrade for aesthetics
320|The Extra Touch
321|Great case with minor design flaws
322|Major fan, didn't buy this because of protection, ...
323|Not all fabric or cloth.
324|She loves it
325|Great pop of color for a bland looking product!
326|Great look for Dot.
327|This is perfect. A lot of people were commenting that the ...
328|Great upgrade for aesthetics
329|Parents with young kids - this is worth it
330|A Little Explanation on What the Tablet Is
331|A new step forward for me in reading on my Kindle!
332|Good as a first Paperwhite, not worthy of an upgrade
333|Great tablet for basic use
334|IPS screen makes all the difference in the world still no Google app compatibility
335|Parkinson's Disabled and LOVES it!
336|Huge upgrade from the kindle keyboard
337|Nice Tablet with Sharp Display
338|New kindle fire hdx 7# would not let me register
339|Nice Tablet with Sharp Display
340|It's Wonderful
341|Not as happy as I was with the standard HD Version
342|Nice Tablet with Sharp Display
343|Helpp desk is a joke
344|Potentially a nice complement to a Kindle Paperwhite
345|my kindle fireHDX
346|kindle fire HDX
347|Beware of what you're getting into!
348|Nice
349|Great Sound and Versatility
350|I like it
351|Great product
352|Easy to carry from room to room and outside.
353|Now hands-free
354|Very well built
355|Love It
356|Great Item for Beginners
357|It meets my needs
358|Awesome
359|THE most versitle of the
360|Better sound than expected!
361|This product is amazing!!!
362|Very entertaining. New technology in the making.
363|another one...
364|Easy to set up
365|Not impressed
366|Love it
367|Great and user friendly
368|Not perfect, but does a great job
369|Great product but requires
370|Great concept
371|Very responsive and intuitive.
372|Great Sound
373|Dissatisfied
374|Excellent intelligent speaker
375|Not as great as the Echo
376|Great so far
377|Works as promised
378|Limitations
379|Full Size, yet portable
380|Very cool!
381|Nice,however.
382|Great product with good bass for the price.
383|Awesome speaker
384|I hate it
385|Amazing product
386|Great device
387|Luv this product
388|Excellent
389|Big helper!
390|Great purchase
391|Fabulous speaker!!
392|Love it
393|Best Voice Command that dosen't list all the time
394|Love the Dot, Hate the Tap Portable
395|Tap
396|Great product
397|Excellent sound on this portable speaker
398|Great Purchase
399|Grea
400|Some unpleasant quirks, but overall very good
401|Cool little gadget
402|Great device
403|Great for home and travel
404|Well worth it
405|Great product!
406|Love it
407|Small Echo that you can take outside
408|Its loud and has a good battery
409|Great on the go speaker
410|Solid
411|Cool but its app didn't
412|Great device
413|Great product
414|Good Bluetooth speaker
415|Best speaker of the three
416|Great Product
417|So much fun for traveling
418|Another win for
419|The echo is great
420|Excellent
421|Great product
422|Does what it says it does
423|Fun addition to your home
424|Great product
425|A must have.....
426|Great Product!
427|Great addition to home devices
428|User Friendly
429|Great Device Made better with Sofware Update
430|The Tab is awesome
431|To much Fun
432|Not bad.
433|Useful info and fun to have around
434|We love this lil thing!!!
435|Great sound
436|great product for price
437|Great addition to the Echo
438|Amazing
439|Excellent sound
440|Great product
441|Unsure
442|Good companion to Echo
443|Voice command only would be nice.
444|Great speaker
445|excellent product
446|Enjoy my amazion blue tooth speaker Great sound
447|Awesome
448|Great Speaker
449|It never worked
450|Good sound but you have to tap it
451|Fun product
452|Good
453|Great Speaker
454|Very good bluetooth speaker
455|When it works I love it
456|Great gadget
457|Not what I thought
458|Nicely Done
459|Great sound and fun
460|Very good and fun
461|Great product
462|Great Gif
463|A little fun but not very useful
464|My wife loves it!
465|Great
466|Great device
467|Awesome
468|Perfect.
469|Great gift idea
470|Two thumbs up.
471|Love my echo
472|very good product
473|Excellent sound quality
474|Great product
475|Great Gift
476|A great assistant
477|Great price
478|I really enjoy
479|Good Bluetooth device
480|Great fun for the family
481|Awesome for college students
482|Work great
483|Works very well
484|Great add-on to echo!
485|Great device overall
486|Not as good as I think..
487|works well, needs alittle more depth in
488|Awesome speaker
489|great product
490|Great for portability.
491|Works great.
492|Love it
493|I was excited but..
494|Not a portable Echo
495|Great product with a ton of features
496|Not a bad product, but the button is annoying...
497|Great wireless speaker
498|There is always something more
499|I really like it
500|Amazing
501|great for beginner
502|I love my
503|Returned it
504|terrible product,bad voice quality
505|Very decent sound and the portability is excellent
506|Awesome device
507|Nice addition to the echo lineup
508|Great price
509|It has so many uses and performs well.
510|GREAT STREAMING DEVICE BUT LACKING IN SOUND
511|Works great
512|Love my tap
513|Like it, but do i really need it?
514|Love the speaker
515|Great product
516|This was a gift for someone!
517|Its a pain to use
518|Great camera for a beginner!!!
519|Amazing
520|Nice for the Price
521|It a must
522|Great sound
523|Amazing Sound and great Battery Life!
524|Fun
525|Sound quality horrible
526|Unable to rate at this time
527|AWESOME
528|Nice Product
529|Sound quality is great
530|Nice portable speaker
531|Love it!!!!!
532|More than a gimmick
533|Great speaker
534|My new best friend
535|Great!
536|Rarely gives a good answer
537|The Perfect Bluetooth Speaker...Plus So Much More!
538|Excellent mobile speakers
539|Great for those new to Bluetooth
540|Worth every penny!
541|Fantastic speaker
542|Like echo without voice prompts
543|ok product
544|Even us old people can use it!!
545|Awesome smart device
546|Works!
547|Great speaker. Great product
548|Much more then a speaker
549|Great product
550|Fun and easy.
551|Great for listening to music on the go
552|Didn't know I would like it this much
553|Great speaker
554|Neat little speaker!
555|Great Buy
556|Great Item
557|Great overpriced alarm clock!
558|Love the Tap
559|Nice to have music anytime you want.
560|great fidelity
561|great for listening to prime music
562|Great alternative to the more expensive one
563|Great music player!
564|Love this product
565|Fun item. Does as stated
566|Love the portability.
567|Good fit with Echo
568|Great Buy!
569|Loving it. It has great sound.
570|I love being able ask qu
571|Great Portable Echo
572|Cool product
573|Worth every penny! & Fun
574|Not a good product
575|Excellent Speaker
576|Super easy to set up and use
577|Tired about this seller, don't buy from him
578|Great sound in a portable Bluetooth and more
579|Easy way to play music
580|Awesome
581|The most versatile of all
582|Sounds, not bad
583|Excellent product for the price.
584|Great product
585|Works great
586|Ok but the echo is better
587|Overall good
588|Great assistant
589|Would be better with Dot.
590|Great device
591|Love the Tap!
592|The best of both BT and Voice
593|tap tap tappy
594|Handy speaker if you don't need the best sound.
595|It's a speaker
596|Great buy
597|Its ok for the price
598|Great sound from a little speaker, that's about it
599|Pretty good
600|My son loves it
601|Great Speaker
602|Awesome!
603|Like it very much.
604|Impulse Buy
605|Great for music
606|Love it
607|lovely speaker with many extras
608|Gift product
609|Portability
610|Okay sound
611|Very versatile. Great sound for small device
612|Great Great Great!!!!
613|love it
614|My new found friend!!
615|Great little speaker
616|Not cool 
617|Perfect companion for
618|Great functions. Speaker could be better.
619|Love my Echo Tap
620|Fun and Useful with Great Sound
621|Nice BT/Wifi speaker
622|Not good
623|Great for music
624|Music on the go
625|I returned this product
626|Great and a lot of fun
627|Good bluetooth speaker, better if you have Echo
628|Excellent sound quality
629|Great functionality and portable
630|Not Nice
631|Great Product
632|nice speaker
633|Works great
634|Great Sound and cheaper than the Echo
635|Great companion
636|versatile device with superior sound
637|Everything you love about your Echo on the go!
638|Wave of the future
639|VERY PORTABLE
640|Smart speaker on the 
641|Would not work properly!
642|EXCELENT SOUND
643|Love it!
644|Works good. The kids love it
645|Great Product!
646|Coolest high tech gadget.
647|They missed on this one
648|Great sounding speaker
649|amazing sound quality
650|Great! Travel with it by my side.
651|Easy small decent sound
652|Great if sound quality is no big deal
653|Use it everyday
654|Great fun
655|I love it with one exception
656|Has a lot of apps built in
657|We are enjoying this product
658|Home theater like sound
659|Portable interactive entertainment
660|Love this !!!!
661|"As a Prime member, this is ideal for me"
662|In love!
663|Good, but not great
664|Amazing Speaker
665|It's Awful
666|Great item for a beginner
667|Love this product ...
668|Great product
669|No Great item
670|Love it.
671|More features than we realized
672|Can't connect it
673|Great Bluetooth Speakers
674|She is the 2nd one I got
675|Good size for kitchen location
676|Tap is must have for outside
677|its fantastic
678|Great product
679|Love it!
680|A nice buy
681|Not what I expected
682|didn't work
683|Great Product
684|Great Device
685|Love it
686|Good alt to echo
687|Great
688|great portability
689|Bluetooth Speaker
690|Kids love it!
691|Brilliant product
692|Screen Protector
693|Only one I have found to work on the Fire Phone
694|Secondly it is really soft actually thus it will be scratched easily by anything near your cellphone such as keys or ...
695|Perfect fit super easy application zero bubbles
696|Works great, once you read the instructions!
697|Replacement cover from
698|Four Stars  
699|Three Stars
700|One Star
701|The case itself is amazing. It looks good  
702|Beautiful and Functional
703|Replacement cover from
704|Great color  
705|Not impressed
706|Great color  
707|Five Stars
708|Disappointed
709|I would say these are the 'go-to' headphones for everyday use
710|I hate having to shove headphones into my brain to use them...
711|Awesome Headphones! Longevity An Issue
712|I hate having to shove headphones into my brain to use them... 352 of 374 
713|Shouldn't have to settle for a Phone App or paying 30 of the entire thing to get another remote. Shame on you
714|Disappointed - UPDATE
715|Download the remote app instead and control Fire TV via your smart phone. It seems fine at final
716|Faulty remote, short life span
717|Worked for a while, I'm not satisfied
718|Not good, avoid this seller
719|2nd Bad Remote
720|Shouldn't have to settle for a Phone App or paying 30 of the entire thing to get another remote. Shame on you
721|Hold the Home Key
722|Very disappointed.
723|If you are trying to replace a non working remote
724|Great remote Hard to Pair!
725|Not good at all
726|Don't Buy It.
727|Not what I expected from an
728|OEM Remote gave out after 12 months, considering replacement
729|My voice remote controller pooed out
730|I would be disappointed with myself if i produced a remote that couldn't ...
731|Battery draining remote!!!!
732|replacing an even worse remote. Waste of time
733|Overpriced
734|I am sending all of this crap back to
735|This product is too expensive
736|Not good at all
